dataset_id,dataset_name,outer_cv_split,number,value,datetime_start,datetime_complete,duration,params_n_dspp_layers,params_n_dspp_out,params_batch_size,params_lr,params_num_inducing,params_num_quadrature_sites,params_beta,user_attrs_MAX_EPOCHS,user_attrs_Train_Losses,user_attrs_Val_MSE,state,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_fixed_params
44027.0,r1_08_PPV,1.0,37.0,1.7293444898314192e-06,2022-11-05 13:05:29.394183,2022-11-05 13:09:58.039919,0 days 00:04:28.645736,1.0,1.0,2048.0,0.0276262979927635,57.0,9.0,1.0,14.0,,,COMPLETE,1.9723036075447453e-06,,,
44027.0,r1_08_PPV,1.0,38.0,4.750753942062147e-05,2022-11-05 13:09:58.040455,2022-11-05 13:11:20.179721,0 days 00:01:22.139266,1.0,3.0,1024.0,0.0023149135205047,133.0,7.0,0.01,,,,PRUNED,4.750753942062147e-05,,,
44027.0,r1_08_PPV,1.0,39.0,0.0020868533756583,2022-11-05 13:11:20.180088,2022-11-05 13:13:59.477589,0 days 00:02:39.297501,3.0,1.0,1024.0,0.0004384541762426,186.0,8.0,0.05,,,,PRUNED,0.0020868533756583,,,
44027.0,r1_08_PPV,1.0,40.0,0.0001289610663661,2022-11-05 13:13:59.477988,2022-11-05 13:16:21.800791,0 days 00:02:22.322803,3.0,1.0,1024.0,0.0009363447011097,72.0,8.0,0.05,,,,PRUNED,0.0001289610663661,,,
44027.0,r1_08_PPV,1.0,41.0,3.350013867020607e-05,2022-11-05 13:16:21.801167,2022-11-05 13:26:00.321424,0 days 00:09:38.520257,3.0,1.0,512.0,0.0050677302296602,97.0,5.0,0.2,,,,PRUNED,3.350013867020607e-05,,,
44027.0,r1_08_PPV,1.0,42.0,5.126014002598822e-06,2022-11-05 13:26:00.321790,2022-11-05 13:40:51.357987,0 days 00:14:51.036197,3.0,2.0,1024.0,0.0207457039278279,542.0,9.0,0.05,4.0,,,COMPLETE,5.126014002598822e-06,,,
44027.0,r1_08_PPV,1.0,43.0,0.0001648216129979,2022-11-05 13:40:51.358523,2022-11-05 13:43:37.167004,0 days 00:02:45.808481,3.0,1.0,1024.0,0.0005703821571332,201.0,8.0,0.05,,,,PRUNED,0.0001648216129979,,,
44027.0,r1_08_PPV,1.0,44.0,2.807776218105573e-05,2022-11-05 13:43:37.167379,2022-11-05 13:56:58.896094,0 days 00:13:21.728715,2.0,4.0,512.0,0.0034645368056765,346.0,7.0,0.05,,,,PRUNED,9.813627912080848e-06,2.807776218105573e-05,,
44027.0,r1_08_PPV,1.0,45.0,0.0593084879219532,2022-11-05 13:56:58.896486,2022-11-05 13:59:33.771465,0 days 00:02:34.874979,3.0,2.0,1024.0,0.0001086802279992,65.0,9.0,0.05,,,,PRUNED,0.0593084879219532,,,
44027.0,r1_08_PPV,1.0,46.0,3.812770955846645e-05,2022-11-05 13:59:33.771871,2022-11-05 14:01:33.776315,0 days 00:02:00.004444,2.0,3.0,2048.0,0.0066734824815396,123.0,8.0,0.01,,,,PRUNED,3.812770955846645e-05,,,
44027.0,r1_08_PPV,1.0,47.0,8.951313247962389e-06,2022-11-05 14:01:33.776690,2022-11-05 14:21:15.705253,0 days 00:19:41.928563,1.0,1.0,512.0,0.000846117745877,178.0,5.0,1.0,32.0,,,COMPLETE,,,,
44027.0,r1_08_PPV,1.0,48.0,2.144950713045546e-06,2022-11-05 14:21:15.705826,2022-11-05 14:39:26.064111,0 days 00:18:10.358285,3.0,1.0,1024.0,0.012111999649137,622.0,6.0,0.2,13.0,,,COMPLETE,1.6461208360851742e-05,2.6927218641503714e-06,,
44027.0,r1_08_PPV,1.0,49.0,2.1750649466412145e-05,2022-11-05 14:39:26.064648,2022-11-05 14:51:46.906982,0 days 00:12:20.842334,1.0,1.0,2048.0,0.0011950487598321,124.0,5.0,0.05,51.0,,,COMPLETE,,,,
44027.0,r1_08_PPV,1.0,50.0,3.5969584132544696e-05,2022-11-05 14:51:46.907513,2022-11-05 15:22:00.751525,0 days 00:30:13.844012,1.0,1.0,2048.0,0.0001056388349903,376.0,6.0,0.05,108.0,,,COMPLETE,4.510395956458524e-05,,,
44027.0,r1_08_PPV,1.0,51.0,0.0001228494802489,2022-11-05 15:22:00.752079,2022-11-05 15:27:03.611011,0 days 00:05:02.858932,1.0,4.0,512.0,0.0001479846495754,61.0,6.0,0.2,,,,PRUNED,0.0001228494802489,,,
44027.0,r1_08_PPV,1.0,52.0,2.8913624191773124e-05,2022-11-05 15:27:03.611439,2022-11-05 15:36:35.853460,0 days 00:09:32.242021,1.0,1.0,1024.0,0.0029663394220645,85.0,7.0,0.2,26.0,,,COMPLETE,3.922026007785462e-05,,,
44027.0,r1_08_PPV,1.0,53.0,1.7669190128799528e-05,2022-11-05 15:36:35.854068,2022-11-05 16:06:59.849220,0 days 00:30:23.995152,3.0,1.0,1024.0,0.0001610987732915,580.0,7.0,0.2,24.0,,,COMPLETE,,,,
44027.0,r1_08_PPV,1.0,54.0,4.989008175471099e-06,2022-11-05 16:06:59.849805,2022-11-05 16:27:05.227324,0 days 00:20:05.377519,3.0,1.0,512.0,0.0123756550831099,647.0,6.0,0.2,,,,PRUNED,1.1057844858441968e-05,4.989008175471099e-06,,
44027.0,r1_08_PPV,1.0,55.0,0.0011865412816405,2022-11-05 16:27:05.227730,2022-11-05 16:31:50.469415,0 days 00:04:45.241685,2.0,4.0,1024.0,0.0605455402394381,589.0,5.0,0.2,,,,PRUNED,0.0011865412816405,,,
44027.0,r1_08_PPV,1.0,56.0,0.0001854637084761,2022-11-05 16:31:50.469828,2022-11-05 16:37:15.545582,0 days 00:05:25.075754,2.0,3.0,2048.0,0.0995146593775829,103.0,10.0,1.0,,,,PRUNED,0.0001854637084761,,,
44027.0,r1_08_PPV,1.0,57.0,9.06494449282036e-07,2022-11-05 16:37:15.545979,2022-11-05 16:51:37.384110,0 days 00:14:21.838131,2.0,2.0,2048.0,0.018507216652933,163.0,9.0,0.2,25.0,,,COMPLETE,1.6153697288245894e-05,2.757326001301408e-06,,
44027.0,r1_08_PPV,1.0,58.0,2.3215172404889017e-05,2022-11-05 16:51:37.384703,2022-11-05 16:54:52.150152,0 days 00:03:14.765449,3.0,1.0,1024.0,0.0018454914881265,421.0,6.0,0.2,,,,PRUNED,2.3215172404889017e-05,,,
44027.0,r1_08_PPV,1.0,59.0,1.921561488416046e-05,2022-11-05 16:54:52.150545,2022-11-05 16:57:26.701859,0 days 00:02:34.551314,3.0,2.0,1024.0,0.0286163061364623,96.0,7.0,0.2,,,,PRUNED,1.921561488416046e-05,,,
44027.0,r1_08_PPV,1.0,60.0,3.920097515219823e-05,2022-11-05 16:57:26.702272,2022-11-05 17:00:05.916825,0 days 00:02:39.214553,3.0,1.0,1024.0,0.0128749650458702,282.0,5.0,0.2,,,,PRUNED,3.920097515219823e-05,,,
44027.0,r1_08_PPV,1.0,61.0,4.341448857303476e-06,2022-11-05 17:00:05.917216,2022-11-05 17:09:11.364259,0 days 00:09:05.447043,1.0,1.0,512.0,0.0046899251812639,699.0,6.0,0.05,,,,PRUNED,3.027923867193749e-06,4.341448857303476e-06,,
44027.0,r1_08_PPV,1.0,62.0,2.302752182004042e-05,2022-11-05 17:09:11.364703,2022-11-05 17:14:29.302379,0 days 00:05:17.937676,3.0,3.0,512.0,0.0110608366304615,234.0,7.0,1.0,,,,PRUNED,2.302752182004042e-05,,,
44027.0,r1_08_PPV,1.0,63.0,9.038091957336292e-05,2022-11-05 17:14:29.302778,2022-11-05 17:18:20.253178,0 days 00:03:50.950400,2.0,2.0,1024.0,0.0007200656699244,469.0,8.0,0.01,,,,PRUNED,9.038091957336292e-05,,,
44027.0,r1_08_PPV,1.0,64.0,1.8558124793344177e-05,2022-11-05 17:18:20.253558,2022-11-05 17:20:28.835098,0 days 00:02:08.581540,1.0,1.0,512.0,0.0171768601850645,186.0,5.0,1.0,,,,PRUNED,1.8558124793344177e-05,,,
44027.0,r1_08_PPV,1.0,65.0,2.693384521990083e-05,2022-11-05 17:20:28.835449,2022-11-05 17:22:37.168433,0 days 00:02:08.332984,2.0,1.0,1024.0,0.0017084851173054,314.0,6.0,0.05,,,,PRUNED,2.693384521990083e-05,,,
44027.0,r1_08_PPV,1.0,66.0,4.565075141726993e-05,2022-11-05 17:22:37.168831,2022-11-05 17:39:25.415791,0 days 00:16:48.246960,3.0,4.0,512.0,0.0066202980756705,624.0,10.0,0.2,,,,PRUNED,4.565075141726993e-05,,,
44027.0,r1_08_PPV,1.0,67.0,2.44036073127063e-06,2022-11-05 17:39:25.416142,2022-11-05 17:45:54.013148,0 days 00:06:28.597006,2.0,2.0,2048.0,0.0160873992075816,96.0,9.0,1.0,10.0,,,COMPLETE,2.44036073127063e-06,,,
44027.0,r1_08_PPV,1.0,68.0,2.3990894533199025e-06,2022-11-05 17:45:54.013768,2022-11-05 17:49:41.014624,0 days 00:03:47.000856,1.0,1.0,2048.0,0.0489774315609081,270.0,6.0,0.05,10.0,,,COMPLETE,,,,
44027.0,r1_08_PPV,1.0,69.0,7.075419125612825e-05,2022-11-05 17:49:41.015204,2022-11-05 17:51:00.981149,0 days 00:01:19.965945,1.0,4.0,1024.0,0.061173605588624,90.0,7.0,0.05,,,,PRUNED,7.075419125612825e-05,,,
44027.0,r1_08_PPV,1.0,70.0,5.428928034234559e-06,2022-11-05 17:51:00.981530,2022-11-05 17:56:49.090012,0 days 00:05:48.108482,1.0,3.0,512.0,0.0037018299769548,66.0,7.0,1.0,6.0,,,COMPLETE,,,,
